country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Cayman Islands;Americas;2016;62569.0;0.0;;;;;;0.0;;;;;;;0.0;0.0;;;Créer ou étendre les services d'eau;;;
Central African Republic;Africa;2016;4537686.0;2728393.0;-1.79;46.33376;;82.11312;3772.784;60.12740855140704;;0.6600625055347287;;;0.8126426150458965;0.7121212121212122;0.5533963642304189;66.62076905212277;81.26426150458965;32.53474924770517;Moderniser les services d'eau;0.18735738495410348;0.46333759999999996;0.32534749247705175
Chad;Africa;2016;14561660.0;11175141.0;-1.3;38.85259;;101.04312;14603.3;76.74359242009497;;0.75207638417412;;;1.0;0.6193181818181819;0.7063272149331283;80.03325373582926;100.0;19.426295;Moderniser les services d'eau;0.0;0.3885259;0.19426295
Channel Islands;Europe;2016;166923.0;113648.0;;;;;;68.08408667469432;;;;;;;0.6266274721537598;62.66274721537598;;;Créer ou étendre les services d'eau;;;
Chile;Americas;2016;18209068.0;2252605.0;0.41;99.62218;98.46397;0.20277;36.31498;12.370786906831256;1.1582099999999969;0.0046470811071425;0.0160889306652904;0.017553947762679;0.0019448349785251;0.2954545454545454;0.1138573682425813;3.673460571561983;1.3772867512023423;99.71384825107374;Renforcer la gouvernance politique;0.9980551650214748;0.9962218;0.9971384825107374
China;Western Pacific;2016;1445523929.0;612549421.0;;92.30405;;0.57632;8134.223;42.3755988199902;;0.0946556660861351;;;0.005642000913528;;0.3900135210221137;16.1009606273777;0.5642000913528084;95.86992495432361;Créer ou étendre les services d'eau;0.9943579990864719;0.9230405;0.958699249543236
China, Hong Kong SAR;Western Pacific;2016;7243542.0;0.0;0.75;;;;;0.0;;;;;;0.2310606060606059;0.0;0.0;;;Renforcer la gouvernance politique;;;
China, Macao SAR;Western Pacific;2016;612836.0;0.0;1.42;;;;;0.0;;;;;;0.1041666666666666;0.0;0.0;;;Renforcer la gouvernance politique;;;
China, Taiwan Province of;Western Pacific;2016;23618200.0;5338547.0;0.93;;;;;22.60353032830614;;;;;;0.196969696969697;0.2080367639952763;20.80367639952763;;;Créer ou étendre les services d'eau;;;
China, mainland;Western Pacific;2016;1414049351.0;607210874.0;-0.5;;;;;42.941278787093765;;;;;;0.4678030303030303;0.3952198860502265;39.52198860502265;;;Renforcer la gouvernance politique;;;
